Weights,Validation MSE,Hidden Layers,Learning Rate,Batch Size,Epochs,Training Time (s)
10,9.496e-05,1,0.1,512,50,2.758872926235199
30,1.598e-05,1,0.1,256,50,3.053584635257721
60,9.384e-06,1,0.1,256,50,3.2602823972702026
100,1.682e-06,1,0.01,512,100,3.820533335208893
300,1.282e-07,1,0.01,256,100,6.693849682807922
600,3.408e-08,1,0.01,512,150,8.150704383850098
1000,3.637e-08,1,0.001,256,150,12.980290055274963
3000,5.206e-09,1,0.01,512,200,34.059173583984375
6000,4.898e-09,1,0.0001,128,200,58.62223970890045
10000,3.353e-09,1,0.0001,128,175,91.72920960187912
30000,1.526e-09,1,0.001,256,500,777.0119983553886
